open_time,exit_time,symbol,direction,entry,exit_price,tp,sl,liq,trail,exit_reason,move_pct,pnl_usdt,pnl_on_margin_pct,duration_min,notional,margin,leverage,consensus_pct,timesfm,strength,rr
2026-08-07T16:36:50+00:00,2026-08-08T16:40:00+00:00,ETH_USDT,SELL,1915.67,1921.82,1872.734286,0.0,2001.8751499999998,,EXPIRATION,-0.321,-0.1415,-8.82,1443,32.0821,1.6041,20,80.0,SELL(-1.71%),STRONG,1.0
2026-08-10T19:19:12+00:00,2026-08-11T19:20:00+00:00,LTC_USDT,BUY,45.11,45.31,45.835714,0.0,43.08005,,EXPIRATION,0.4434,0.0001,6.29,1440,0.0253,0.0013,20,80.0,BUY(+0.36%),STRONG,1.0
2026-08-11T17:43:42+00:00,2026-08-12T13:00:00+00:00,SEI_USDT,BUY,0.03993,0.04036715,0.04102,0.0,0.03813315,,TRAILING_STOP,1.0948,0.0012,19.34,1156,0.127,0.0064,20,87.5,BUY(+1.02%),STRONG,1.0
2026-08-12T07:57:57+00:00,2026-08-13T08:00:00+00:00,BTC_USDT,BUY,63790.67,63912.72,64756.298571,0.0,60920.08985,,EXPIRATION,0.1913,0.0001,1.43,1442,0.1321,0.0066,20,80.0,BUY(+0.39%),STRONG,1.0
2026-08-13T23:44:54+00:00,2026-08-14T23:45:00+00:00,BCH_USDT,BUY,206.6,204.8,211.885714,0.0,197.303,,EXPIRATION,-0.8712,-0.0005,-19.79,1440,0.0519,0.0026,20,80.0,BUY(+1.38%),STRONG,1.0
2026-08-14T15:29:59+00:00,2026-08-15T02:30:00+00:00,LDO_USDT,BUY,0.2932,0.296311,0.304986,0.0,0.280006,,TRAILING_STOP,1.0611,0.0001,20.94,660,0.0089,0.0004,20,87.5,BUY(+0.31%),STRONG,1.0
2026-08-16T11:13:06+00:00,2026-08-17T11:15:00+00:00,APT_USDT,BUY,0.5326,0.523,0.548229,0.0,0.5086329999999999,,EXPIRATION,-1.8025,-0.0025,-38.3,1441,0.1295,0.0065,20,87.5,BUY(+0.39%),STRONG,1.0
2026-08-19T16:21:41+00:00,2026-08-19T21:05:00+00:00,ZEC_USDT,SELL,552.0,576.84,530.28,0.0,576.8399999999999,,LIQUIDATION,-4.5,-0.4577,-92.39,283,9.9072,0.4954,20,87.5,SELL(-1.41%),STRONG,1.0
2026-08-21T19:21:04+00:00,2026-08-21T19:25:00+00:00,UNI_USDT,BUY,3.96,4.00388,4.240429,0.0,3.7817999999999996,4.00388,TRAILING_STOP,1.1081,0.0009,19.72,3,0.0938,0.0047,20,100.0,BUY(+0.61%),STRONG,1.0
2026-08-22T20:18:22+00:00,2026-08-22T21:05:00+00:00,DASH_USDT,SELL,43.04,41.51655,37.137143,0.0,44.9768,,TRAILING_STOP,3.5396,0.0032,68.25,46,0.0938,0.0047,20,100.0,SELL(-8.69%),STRONG,1.0
